,grav
236866,1
168625,1
253261,1
125507,1
103895,1
222603,1
118396,1
178962,1
230789,1
13300,1
237141,1
34572,1
144005,1
18655,1
50052,1
198666,1
247262,1
191561,1
193078,1
232462,1
238950,1
70413,1
252270,1
131457,1
124199,1
212062,1
97104,1
33127,1
123838,1
143241,1
182242,1
68895,1
13936,1
94154,1
250934,1
9892,1
9755,1
212931,1
179366,1
73720,1
255364,1
248607,1
226737,1
9890,1
256680,1
253298,1
207791,1
146632,1
2043,1
32249,1
132002,1
254365,1
25133,1
134994,1
229011,1
176352,1
261597,1
241227,1
44954,1
1482,1
67044,1
134740,1
92428,1
11540,1
161516,1
183188,1
66906,1
19713,1
13700,1
158367,1
193337,1
179436,1
100439,1
138163,1
31881,1
255725,1
107788,1
139063,1
76712,1
63428,1
233490,1
64383,1
86290,1
46050,1
2685,1
54992,1
52586,1
46845,1
132177,1
141253,1
195847,1
155803,1
191970,1
86269,1
22943,1
199787,1
23525,1
212181,1
166926,1
45256,1
139108,1
33015,1
228877,1
172368,1
151813,1
222177,1
220431,1
223830,1
260640,1
116380,1
170211,1
149525,1
233969,1
98173,1
244177,1
106378,1
16094,1
29413,1
262075,1
224430,1
71653,1
164019,1
97967,1
202108,1
256668,1
209494,1
233113,1
121049,1
208658,1
224024,1
205448,1
146468,1
139896,1
125516,1
115776,1
232479,1
259966,1
21554,1
230000,1
221146,1
141912,1
109909,1
176458,1
232856,1
245309,1
190944,1
156419,1
81861,1
30552,1
248537,1
94366,1
167687,1
111697,1
98022,1
4285,1
159427,1
227676,1
209537,1
215962,1
156842,1
223202,1
11924,1
137109,1
143219,1
252879,1
29323,1
130204,1
107574,1
40487,1
207155,1
176551,1
186797,1
140502,1
17764,1
120147,1
88011,1
192904,1
144845,1
201461,1
256185,1
55929,1
168637,1
217593,1
84961,1
25190,1
198166,1
180411,1
178894,1
70240,1
379,1
58280,1
244609,1
40103,1
83052,1
22845,1
133754,1
242725,1
161875,1
78670,1
28363,1
182120,1
43102,1
121665,1
117724,1
237479,1
108309,1
216809,1
191389,1
259246,1
62766,1
261689,1
211911,1
248481,1
19087,1
217710,1
155634,1
127441,1
57367,1
155952,1
206218,1
140069,1
140280,1
227262,1
201552,1
108762,1
257844,1
52122,1
185812,1
229478,1
21314,1
145460,1
103573,1
49867,1
163791,1
241266,1
162030,1
99083,1
5209,1
158487,1
156598,1
138461,1
117875,1
49641,1
11686,1
12924,1
12436,1
21476,1
183826,1
33464,1
91832,1
172436,1
166195,1
80495,1
246331,1
99211,1
103650,1
201311,1
138989,1
253154,1
21531,1
186292,1
152011,1
250480,1
128316,1
114236,1
149050,1
195843,1
106325,1
39517,1
204564,1
235679,1
100925,1
48586,1
255845,1
246484,1
232591,1
256735,1
130293,1
42042,1
119004,1
96344,1
232436,1
240209,1
238822,1
227710,1
12711,1
220763,1
115067,1
218860,1
163314,1
15988,1
117683,1
118144,1
47166,1
178185,1
196480,1
218205,1
84339,1
124393,1
81001,1
28999,1
5691,1
118991,1
23817,1
202201,1
167205,1
34053,1
78023,1
190021,1
94989,1
209719,1
210595,1
78747,1
167365,1
252236,1
206610,1
109330,1
208103,1
146586,1
138609,1
102778,1
117749,1
64055,1
28305,1
193770,1
57848,1
194650,1
76880,1
1497,1
23408,1
196357,1
42745,1
143556,1
163738,1
165088,1
8149,1
230485,1
85203,1
74830,1
254964,1
89865,1
63955,1
211490,1
38747,1
109854,1
119173,1
253099,1
250235,1
101825,1
87742,1
147636,1
66066,1
17566,1
146843,1
51104,1
206415,1
118667,1
244296,1
161166,1
247259,1
126927,1
210394,1
79146,1
194489,1
23164,1
61438,1
81640,1
152567,1
118714,1
213777,1
112517,1
20613,1
32762,1
248193,1
91901,1
63834,1
50096,1
98677,1
165425,1
111002,1
16305,1
214724,1
23246,1
186265,1
153585,1
231281,1
85759,1
10239,1
118474,1
110463,1
220416,1
208274,1
74679,1
135653,1
75794,1
11373,1
162387,1
87976,1
45845,1
186474,1
64343,1
6176,1
123605,1
93517,1
259608,1
197623,1
222247,1
34617,1
250003,1
108278,1
231685,1
82527,1
120187,1
218777,1
136751,1
187827,1
177515,1
77220,1
190765,1
237656,1
28404,1
159671,1
169244,1
208327,1
187091,1
93021,1
252139,1
54982,1
219642,1
256974,1
225917,1
36571,1
85295,1
153515,1
119661,1
30160,1
140770,1
215621,1
175031,1
143689,1
56093,1
56961,1
178631,1
185621,1
69362,1
20637,1
43657,1
194538,1
174741,1
160667,1
188244,1
74932,1
72600,1
94365,1
220823,1
126935,1
15082,1
20656,1
101584,1
155020,1
110674,1
85897,1
255534,1
97052,1
25262,1
67792,1
203187,1
29638,1
246428,1
195595,1
146258,1
200120,1
136090,1
113656,1
13545,1
187008,1
213179,1
3163,1
158835,1
257953,1
257954,1
118537,1
74699,1
96736,1
169884,1
85615,1
219739,1
111062,1
11796,1
5774,1
96714,1
142090,1
200384,1
174709,1
115938,1
80689,1
163759,1
29158,1
10298,1
200400,1
215958,1
18404,1
101808,1
226092,1
172144,1
256023,1
116082,1
212858,1
140220,1
62150,1
132579,1
61267,1
76316,1
248245,1
199231,1
188930,1
105679,1
177572,1
239714,1
138526,1
96599,1
7619,1
183074,1
2670,1
189245,1
232836,1
210769,1
139775,1
138651,1
158744,1
203765,1
92932,1
52729,1
236521,1
36009,1
96892,1
246037,1
164984,1
34569,1
173256,1
66674,1
52514,1
74910,1
88357,1
114347,1
42693,1
219901,1
161204,1
83964,1
32241,1
232852,1
8274,1
175070,1
122666,1
93987,1
203943,1
10283,1
60228,1
224125,1
63564,1
96000,1
205290,1
93027,1
21671,1
141358,1
245837,1
93849,1
44828,1
32192,1
145134,1
44497,1
7840,1
113894,1
184121,1
41782,1
251245,1
13745,1
211719,1
58808,1
205473,1
252089,1
201771,1
8011,1
94894,1
240351,1
184252,1
87906,1
194929,1
129894,1
99064,1
193243,1
113954,1
126535,1
101417,1
8685,1
50195,1
245590,1
59398,1
81654,1
222803,1
7088,1
177600,1
65096,1
153137,1
105016,1
219523,1
256958,1
257943,1
116101,1
212927,1
22620,1
35147,1
211670,1
43631,1
221368,1
32892,1
15586,1
175450,1
163870,1
19157,1
169637,1
218577,1
211326,1
230376,1
153665,1
159007,1
20398,1
225754,1
255303,1
180817,1
218099,1
91011,1
78334,1
140510,1
208028,1
70849,1
232510,1
185793,1
156339,1
217274,1
22037,1
75517,1
148453,1
69282,1
41959,1
175966,1
183784,1
116373,1
260738,1
254309,1
6405,1
199623,1
257563,1
162418,1
200214,1
246597,1
171631,1
89352,1
238494,1
257068,1
200407,1
126478,1
231737,1
101315,1
