,grav
188965,3
12676,4
306622,4
114913,1
203138,1
170739,1
175169,1
284752,1
47810,1
207916,4
81764,4
36731,4
57076,1
315843,1
30768,1
6091,1
323450,1
255590,4
286411,1
97526,1
99264,1
202854,1
240944,1
12635,4
16809,1
81513,3
325330,4
270734,1
150983,1
306966,4
233789,4
205796,4
56694,1
198433,1
56520,4
51286,1
61037,4
197992,4
260021,1
320595,4
205712,4
323340,1
84016,1
281485,4
277979,1
304622,4
159444,4
175713,3
634,1
189426,4
234465,4
116823,4
49323,4
242064,1
80320,1
316928,1
14555,3
218441,3
133652,1
22186,1
73111,1
139129,1
127583,1
10748,3
175999,4
105631,1
70721,1
83242,4
322467,3
236331,1
273034,1
224388,1
75115,1
257226,4
101754,3
168389,1
234162,4
105194,3
220139,1
302360,1
144681,1
21137,4
128435,3
251792,1
229788,3
193114,1
111939,1
320442,1
169176,4
310761,4
175659,3
16243,1
247181,4
191010,1
92328,4
308484,1
246366,4
170211,4
98169,4
52250,3
241076,1
136296,4
325705,1
280173,1
197986,4
20740,1
216927,1
212352,3
194059,1
24122,3
187311,4
14106,4
56854,4
16420,4
192407,1
84291,4
163715,1
31564,1
70984,1
231348,1
75491,4
52624,4
248971,4
315246,1
198405,1
239957,4
271742,4
139791,1
121883,4
184841,4
218624,1
29684,1
143125,4
39951,1
243168,4
85310,4
300594,3
28367,3
130966,1
22044,4
219442,4
33904,3
28184,4
233415,3
130953,4
237749,1
187559,4
219890,3
213227,1
74721,4
221804,1
64967,1
324535,4
269039,4
24905,1
152264,3
232500,4
189806,1
10003,4
224899,4
299434,3
6659,4
296458,4
280143,4
187770,4
46976,3
312595,3
255885,1
213912,4
186538,1
71867,1
51393,1
285815,1
158508,4
35482,1
67461,1
231682,1
24332,1
196837,1
284899,4
327856,4
178738,4
319665,4
197924,3
58722,3
140371,4
158082,4
63737,4
84465,1
107190,3
121031,3
170014,3
122532,1
291477,4
326235,3
91492,4
292935,3
257463,4
252339,1
179718,3
192557,4
100634,1
91692,4
317535,4
212194,3
219911,4
42128,4
217089,1
212341,3
206198,1
322664,1
267742,4
131162,3
165407,1
64970,3
299608,1
33362,1
129934,1
23822,4
98304,3
73360,1
15894,4
20819,1
210618,1
163638,4
124600,4
140646,4
300894,1
51936,4
32821,2
300738,1
85460,3
323234,1
212601,2
38031,1
3990,4
176917,4
145833,1
107851,4
323206,1
119352,1
75964,3
229227,1
44700,1
98283,3
318673,4
142723,3
13640,4
12764,3
164129,4
49476,4
276542,4
73432,1
72814,1
56108,4
73983,4
241435,3
272054,1
184360,3
141546,4
293092,4
32342,4
117525,4
310866,1
326413,3
232847,1
49996,3
96147,3
276555,1
212258,4
319494,3
78047,1
326694,1
205111,4
132271,1
38246,1
140943,4
106368,1
159782,4
222739,1
133599,1
122575,3
274790,4
257244,4
146384,4
3773,4
176803,4
194167,1
257404,4
65985,3
53237,4
312708,1
270483,4
216716,1
265664,1
148662,4
17646,4
217252,4
282830,1
70495,1
232198,1
